Caption,Image,Video,Time Created,Post URL,Post ID
"For the SANA team, it has been a few months of tons of learning and seeing how each of our cohorts are making progress. We are so grateful to our donors, partners, and participants for making this a reality. 56 women  already! 

Gender equity starts with mental health support! 

#mentalhealth #mentalhealthmatters #womenincoffee #coffeeindustry #sustainability #womencoffeefarmers #colombiancoffee",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/539469317_17868522591430577_6740333341493122192_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=XRfowmrRVYoQ7kNvwH_MkqS&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzcwNzc5MjEyNTM2NTIyNzg1OQ%3D%3D.3-ccb7-5&oh=00_AfVq5vg1o-SotBOglEzgdmH35rNOB2dGM_9xCBLuFr07XQ&oe=68B55A40&_nc_sid=22de04,,2025-08-26 11:48:07,https://www.instagram.com/p/DN0uUsVYpFT,DN0uUsVYpFT
" Coffee production without the humans who do the labor and make it possible is unimaginableespecially without the women who do up to 70% of the farm labor. For women coffee farmers to thrive in their roles and remain on their farms, they need access to tailored mental health care to live healthier and more fulfilling lives. This will become a virtuous cycle that will impact their families and communities. 

At SANA, we provide mental health programs that strengthen and uplift the women at the heart of coffee.

 Donate $25/month to give a woman coffee farmer access to a SANA programand support to build a future of coffee that truly cares for the people behind every bean. Go to: sanaprograms.org/donate",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/538638743_17868069618430577_7130493945337161243_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEyMDB4MTIwMC5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=aOO2TR84zIYQ7kNvwFCXs8M&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzcwNTA1NTkzNjgwODAwNzI0Mg%3D%3D.3-ccb7-5&oh=00_AfWk1VbqAdOLmW3WtSB6I1W8pre6qTg9BPUmAm-_E-Su6w&oe=68B55F5C&_nc_sid=22de04,,2025-08-22 17:11:49,https://www.instagram.com/p/DNrAL6KZLZK,DNrAL6KZLZK
"We recently had an inspiring conversation with Lucia Bawot, founder of SANA, where we explored their work in depth.
 
But what is SANA? Its a mental health initiative in Colombia dedicated to supporting women coffee farmers.
 
Read the full 10-question interview via the link in our bio or on our website.",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/537375470_18523902850018705_378216655968299579_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTM1MC5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=_7M-T21VPw0Q7kNvwE5XHMB&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzcwNDE3NTA3OTg5ODQ2MjU5Mg%3D%3D.3-ccb7-5&oh=00_AfVAAqQq6_CCuhQgWBnSrKNqI9StR_ejnpjFf8GNNZLONw&oe=68B548FF&_nc_sid=22de04,,2025-08-21 12:01:49,https://www.instagram.com/p/DNn35wPM7mA,DNn35wPM7mA
"In their words: Laura participated in our pilot program. Here is a short testimonial about her experience. 

Join our movement and donate to support a woman coffee farmer like Laura to live a healthier and more fulfilling life while strengthening their wellbeing. 

#SANAProgram #MentalHealthGrowsHere #Coffeeindustry #womenincoffee #womencoffeefarmers #mentalhealth #ruralmentalhealth",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/536479506_17867793345430577_4074174806413475648_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=vSbb_7NUBtIQ7kNvwHWupVv&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzcwMzQ2NjkzNjA3NzAxNjMzMw%3D%3D.3-ccb7-5&oh=00_AfXvcZ0dNmBG0spue5ywqb4rdFVe8LnGSlVl-txjPjhwMA&oe=68B56F98&_nc_sid=22de04,,2025-08-20 12:34:44,https://www.instagram.com/p/DNlW456Rl0N,DNlW456Rl0N
"Behind almost every cup of coffee, theres a woman carrying the weight of labor, caregiving, and trauma  often in silence. In Colombia, women coffee farmers face some of the highest mental health risks, yet almost no access to tailored care.

SANA exists to change that. We provide women coffee farmers with tailored, integrative mental health support so they can heal, grow, and reclaim their dignity.

You can make this possible. For just $25 a month, you give one woman access to our program  therapy, tools, and the chance to live a healthier, more fulfilling life.

 Donate today. Help us break the silence and bring hope to the women who are the backbone of coffee.
 Go to sanaprograms.org/donate or find link in our bio.

#mentalhealth #womenincoffee #coffeeindustry #mentalhealthmatters",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/534312230_17867546343430577_7473648350498636215_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi4xMDgweDE5MjAuc2RyLmY4Mjc4Ny5kZWZhdWx0X2NvdmVyX2ZyYW1lLmMyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=CZrehH-AKx4Q7kNvwGKxpk1&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzcwMTk2MjEyMDg1MDg0NjcxODE3ODY3NTQ2MzM3NDMwNTc3.3-ccb7-5&oh=00_AfUMor9_RhlN0SQej1ArKftWcZZ9ZdeJ3npdRk5jifpKEA&oe=68B54543&_nc_sid=22de04,https://scontent-lga3-3.cdninstagram.com/o1/v/t16/f2/m86/AQNeSPugfc0kaZoN9XPjDrY2zozS-Ft4DhhcWS19e1SsZIxlxsuK_SRaS5jVBdB81aXS9DoPEB0PNpFSb-fEa488kupqV5o_FbYs3ts.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=106&vs=1099999235596672_1897792865&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9ENzREMzExMDcxM0Y0RDA4MzE3OThEOTM3REE1OThCRV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQzc0dWg5Yk5ocTNrQTRLQU40X3dXQXRkZ0paYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJv7T4ODz35JAFQIoAkMzLBdAXszMzMzMzRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&_nc_rid=9f0eb3e769&ccb=9-4&oh=00_AfX94PXZEKr5IE3mWRcVBGK5j2o-aO2kE6T5-gHe33h_xQ&oe=68B160BF&_nc_sid=22de04,2025-08-26 12:00:17,https://www.instagram.com/p/DNgAu9hRDP-,DNgAu9hRDP-
"Were calling on coffee roasters and cafs to join us (@sana_programs) in supporting the mental health and wellbeing of women coffee farmers through our October Give-Back Campaign.

Our program is designed to help these women live healthier & more fulfilling lives while supporting them in gaining the emotional tools and agency to thrive within their families and communities.

Why October?
October kicks off with International Coffee Day a perfect moment to reflect on the people behind every cup. Its also a powerful month for mental health advocacy with Mental Illness Awareness Week (October 511) and World Mental Health Day (October 10) making this the perfect time to take meaningful action at origin.

How Your Caf or Roastery Can Join:

* Pick a drink  donate 20% of its sales throughout October to SANA.
* Pick a coffee offering  donate 10% per bag sold to SANA throughout October.

Lets make October a month of real impact where mental health becomes the foundation of gender equity and sustainability in the coffee industry.

 Ready to join?
Comment below or email us at info@sanaprograms.org so we can send you the participation guidelines.",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/532100780_17866800009430577_1370010479405099118_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTA4MC5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=d5dMswQWWjQQ7kNvwGkYfnf&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY5NzU3Nzc4MDA1MDI1NTU4OA%3D%3D.3-ccb7-5&oh=00_AfX88a_qpu-NQw_4Ss1XC61odUJ_bJCAGWqhC8yJIgmfvg&oe=68B54C36&_nc_sid=22de04,,2025-08-12 14:01:29,https://www.instagram.com/p/DNQb2Z9Rd7k,DNQb2Z9Rd7k
"Weve measured the yield, weve invested in quality, and more resistant varieties, but if we imagine a future where coffee is available we intrinsically have to start prioritizing the well-being of the humans producing it. Because if these humans are struggling mentally, emotionally, and physically, it doesn't matter how much coffee they produce, or how much they get paid for that coffee, they won't have the energy, the mental bandwidth, and emotional tools to thrive as coffee farmers. 

Wanna learn about the work and support we are providing, go check out our website: www.sanaprograms.org",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/530166944_17866319922430577_4606035215703707546_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=wx52f7YmDIsQ7kNvwEt4QYu&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY5NDg2MzA4NjY5NzEyMzA2Mw%3D%3D.3-ccb7-5&oh=00_AfUaJtovajBP_UCs50zKZCh9j-SsANwmGU9BSLiY428C5Q&oe=68B55424&_nc_sid=22de04,,2025-08-08 15:40:26,https://www.instagram.com/p/DNGymawSQz3,DNGymawSQz3
"Its been over a month since we launched our SANA program into the world, and today, we can proudly share that 35 women have already enrolled and finished their first month of the program. Next Monday, we will launch two new cohorts with 23 women coffee farmers. 

Also, we want to give a shout out to our lead psychologist and program assistant @dianicpr who has done more than 70+ individual calls and has send more than 20+ unique psycho educational content pieces. 

Remember gender equity starts with mental health! ",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/528312939_17866204746430577_3742833972764670432_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=nYzJOcDoQr4Q7kNvwGhupWC&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY5NDEzNTU3NjU3MzI4MDg1OA%3D%3D.3-ccb7-5&oh=00_AfXqV6k8tJV2xTPTIMR9bGd-6Yi6O602QcXLfbdgS2p1uA&oe=68B55F7D&_nc_sid=22de04,,2025-08-07 15:35:00,https://www.instagram.com/p/DNENLwJyIJa,DNENLwJyIJa
"Its been a little over a month since we launched SANA into the world and today we are excited to share some updates and highlights about the programs we are currently executing and the upcoming ones. 

Could you help us reach our 2025 goal? Make your donation at www.sanaprograms.org/donate and support the well-being of the hardworking women behind your morning cup of coffee. They deserve to live healthier and more fulfilling lives. With $25 (monthly) you give a woman access to a SANA program. 

For the SANA team, it has been a month full of learning and we are excited for what is to come. We are so grateful to our donors, partners, and participants for making this a reality. 

Gender equity starts with mental health support! ",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/528302134_17865972243430577_6802849403564355265_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=STAeR68SiGgQ7kNvwEvRVuu&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY5MjcwODI3Mzk3MjcyOTgxMA%3D%3D.3-ccb7-5&oh=00_AfXV48Edx-xTgK1BMWyfvRwKqZ3I-t0iKC96lxFGok77mQ&oe=68B5763D&_nc_sid=22de04,,2025-08-05 16:26:43,https://www.instagram.com/p/DM_IpxBSlfS,DM_IpxBSlfS
"In their words: Veronica participated in our pilot program, and here is a short testimonial about her experience. 

Join our movement and donate to support a woman coffee farmer like Veronica to live a healthier and more fulfilling life. 

#SANAProgram #MentalHealthGrowsHere #Coffeeindustry #womenincoffee #womencoffeefarmers #mentalhealth #ruralmentalhealth",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/526687629_17865858222430577_2007333974870685492_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHHV0FDjZ12z-82hpKaK7mHT-2T9q_l_Bu4nDcZEt5EHMPe-Wd1GR5VDE9liCDg9X4&_nc_ohc=R0zCr2Yn1vUQ7kNvwEKoqqv&_nc_gid=V0nxI5szgPFWP-ryus67Zw&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY5MTk3MDA3ODEzODAzMzg2Mg%3D%3D.3-ccb7-5&oh=00_AfVU8mOiy7zYcej6tpnAzEQHml_1k4vKT1vEb05G49UJvA&oe=68B57594&_nc_sid=22de04,,2025-08-04 15:52:33,https://www.instagram.com/p/DM8gzmkyebG,DM8gzmkyebG
