Caption,Image,Video,Time Created,Post URL,Post ID
"At Little Waves, summertime means thirst-quenching iced pouroversand this one is truly something special. Were spotlighting Mauricio Shattahs Competition Series Typica Mejorado from Colombia. Its vibrant, balanced, and absolutely shines over ice.

 Mauricio ferments this coffee for 48 hours in stainless steel tanks using carefully selected yeasts, creating a clean, vibrant profile.

 He also uses nitrogen to flush out CO during fermentation, preventing the buildup of carbonic acid. The result is an ultra-smooth cup without any sharpness.

 The cherries are dried slowly over 68 weeks in rooms that filter out UV light, allowing only soft infrared rays. 

This slow, gentle process produces a cup that stays floral and beautifully balancedeven when chilled.

We brewed it with an Origami Air S and Sibarist Small Cone filter, ground at #11.5 on our EK43 Mahlknig, using 196F water. In the cup? Refreshing notes of peach and mango.

 Want to brew it yourself? Check out our iced pourover recipe and experience this standout coffee (or your favorite Little Waves) over ice.",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/528683337_18494040313068765_7721032576179434444_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0Mzl4MTM1Ni5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=MquaNev7BSQQ7kNvwEaeAU7&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY5MzkzNjk3ODgyMTA3NDQxNg%3D%3D.3-ccb7-5&oh=00_AfXG_vXh6DN0mCpsditlpKosXCew-vZM8swhA9piqkKh3Q&oe=68B6D2D3&_nc_sid=22de04,None,2025-08-07 09:00:46,https://www.instagram.com/p/DNDgBxlT03w,DNDgBxlT03w
"Were so proud of our co-founder and green buyer, Areli, for being selected as one of the 2025 @sprudge Twenty!

As her life and work partner of 15 years I am grateful for her more than I can say, which is why I nominated her. I showed her what I wrote for her nomination - before being selected - as part of her recent birthday wishes. Here is a bit of what I wrote in her nomination:

Though she would be uncomfortable having me say that, her way of work, looking at the world, and empathizing with people deeply affect the ongoing development, questions, relationships, and results that she leads and causes to become real via our roastery.

Her work is quiet, consistent, and impactful. She prefers to work more than to talk about work. She leads by working hard with and alongside her team, living her values, caring for others, and growing along with and in front of the people that she leads and partners with, whether they are working along side her in the roastery, or across the planet as partners

Most of all she is a dedicated and reluctant leader whose reverberations go well beyond what I have described here.

Go to Sprudge.com to see the whole writeup and all of the #sprudge20 
#sprudge",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/514880002_18487847374068765_4431972356563264620_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjc0Nng3NDYuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=6KpE-ZYsLUEQ7kNvwGV8faC&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY2NzA5NTUyMjI5Mjg0MzI3OA%3D%3D.3-ccb7-5&oh=00_AfWmmIpHT-EfAnVYw0nBFfvADvnIdDaM1IG3ESmrotg2qg&oe=68B6DA4D&_nc_sid=22de04,None,2025-07-01 12:27:58,https://www.instagram.com/p/DLkI_LLsMMO,DLkI_LLsMMO
"In Apple TV+s ""Omnivore,"" Little Waves Coffee Roasters / Cocoa Cinnamon tell the story of coffee as a cornerstone to food culture. Swipe for a teaser ",https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/454620435_1068335111525760_9033943955923065711_n.webp?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjEwODB4MTM1MC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=eeHy37qGzF8Q7kNvwEMNI8V&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQzMTc3OTE5ODU2NjY5MTcyOQ%3D%3D.3-ccb7-5&oh=00_AfViRtXAX90RdSActsCHRanj2ctoXz-giEMb7CGvoZxNZg&oe=68B6CB1E&_nc_sid=22de04,None,2024-08-10 15:59:44,https://www.instagram.com/p/C-gIQEOp5-6,C-gIQEOp5-6
"Where The Rain Sleeps is a washed coffee from Kenya  

Established in 1998, Gondo coffee factory currently has 727 producers in the Kihoya subregion Muranga countys Mathioya District. 

After carefully tending their coffee trees all season, Gondos producers selectively hand-pick ripe red cherries as they reach perfection. Even with all that care, they give a second post-harvest pass, separating ripe cherry from underripes, overripes, and any foreign matter that makes it into the mix.

Giving bright fruitiness, the 16-18 hour fermentation process in cement tanks produces a grapefruit, blackberry, jasmine, and effervescent cup.  

A nod to the cloud-covered Aberdare Mountain Range and the quiet majesty of the highlands, it is truly delicate, sweet, floral, poetic, and delicious!  ",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/539392881_18497342506068765_1275491540562630324_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0Mzl4OTU5LnNkci5mODI3ODcuZGVmYXVsdF9pbWFnZS5jMiJ9&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=SeeS6o8TP3QQ7kNvwHS7cX8&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzcwODU4MzYwNjg3OTY5OTU2MQ%3D%3D.3-ccb7-5&oh=00_AfXXwlJb_IxGi5uDoQLjejgFW1moeyWjjNoWj2QvLegw1A&oe=68B6B671&_nc_sid=22de04,None,2025-08-27 14:00:57,https://www.instagram.com/p/DN3iSQ75sJp,DN3iSQ75sJp
"These waves are the root origin of the words little waves that were part of Areli and me falling in love in 2010. 

Serene, calming cadence in touch with a deeper sense of tuneleads the mind to the ocean, the moon, and marvels, music, and patterns of the universe. 

When we bought our home in 2014 it became the name of our WiFi network. 

Later it became the name of our coffee roasting company @littlewaves.coffee  L

#littlewaves #littlewavescoffee #coffeeroaster #lovestory #peace #specialtycoffee",https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/538635938_1322340126224814_1624116369141914023_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4Lm5mcmFtZV9jb3Zlcl9mcmFtZS5jMiJ9&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=4sr6RrqfSSIQ7kNvwGSBcym&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzcwNDk1MzUxNDYyNzYzODk2NA%3D%3D.3-ccb7-5&oh=00_AfVLPlWE8Zujc14hv7o4HomyA647bVeiU8ooHH5OCmuYkg&oe=68B6C314&_nc_sid=22de04,https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f2/m86/AQO49m-IIegXkqXLwXG28U2u0o-UbvYqwgUJbAjFSv0A9cF64YQQVhW-bxwJGkeU8PyfyavEV42xPsEOp0X_eoYkVNtWokZNCSYE7KQ.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=107&vs=751057424484692_2497993464&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC80RDQ2RTg0MDgxRTlCOEE5ODRFRDNGOTMyMzE5REQ5N192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HQVNYRENBcXo3Ny1ycTREQUd0ek4xWFN4WGtEYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJqjhypTyhNQ%2FFQIoAkMzLBdAN%2BuFHrhR7BgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfVvVdzL-2CbUwAYe8UQ69dgJNjOEh-naBkQbMpmEiQ00g&oe=68B2E2E1&_nc_sid=22de04,2025-08-22 14:10:53,https://www.instagram.com/p/DNqo5eEtya0,DNqo5eEtya0
"Were sending summer off with something rare: four exceptional coffees in a special bundle, at an incredible price  but only while supplies last.

 Whats inside:
3  100g jars of:
 Mauricio Shattah  Competition Series Typica Mejorado
 Jos Giraldo  Ro Dulce Gesha
 Inmaculada  Sudan Rum

1  50g jar of:
 Al Oqabi Women Farmers  Natural Yemenia, Best of Yemen Lot #17

From world-championship winners to legendary varieties discovered in the wild, to auction-winning lots that directly support women producers  every jar holds a story and a taste youll never forget.

These are once-in-a-season coffees: rare, celebrated, and absolutely unforgettable. When theyre gone, theyre gone.

  Taste these historical coffees before summer ends.  ",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/532447889_18495728530068765_1028499831840099396_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTA4MC5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=bL450tJiRdMQ7kNvwFkCwBI&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzcwMTI3NTM1NDQ3Mzg2OTczOQ%3D%3D.3-ccb7-5&oh=00_AfWN6AkZyXWXwRp6qt5F6nbrmuC7DN7Ken8mDu9ju8jAbA&oe=68B6DFAF&_nc_sid=22de04,None,2025-08-17 12:00:50,https://www.instagram.com/p/DNdklMfUrGr,DNdklMfUrGr
"Our Dinkinesh series continues to grow with the return of a Little Waves-loved coffee from Negusse Debela at @snapspecialtycoffee 

Halo Hartume comes to us from the central-western side of Gedeb, right in the heart of some of the highest growing elevations for coffees. Coffee is somewhat new to the area, in comparison to other areas, with many of the farms growing for only one or two generations. Here, theres high potential for high quality. 

Were sharing this beautiful coffee with tasting notes of hibiscus flower, oolong tea, and peach.    

Light and bright coffee drinkers will love these floral and fruity summery flavors! ",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/535930458_18496214173068765_6133129066647504407_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjgyNzg3LmRlZmF1bHRfY292ZXJfZnJhbWUuYzIifQ&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=xNXOe24gJNAQ7kNvwGtkg4L&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY5OTg4NjEzNTk1OTE5NzgxNDE4NDk2MjE0MTY3MDY4NzY1.3-ccb7-5&oh=00_AfU0f3JMhUfYfH__b73jLulO2I9gGKEtEImKghkd2xUfYQ&oe=68B6D83E&_nc_sid=22de04,https://scontent-iad3-2.cdninstagram.com/o1/v/t16/f2/m86/AQPXoG0vNQ2m-INchTgS-IM6lleGALWA85BQXv0tNmXyRQzlHxbAZDvuIX3ctw9s9v9IcooHmHG0W8pzH_zfnOG__KoyqCIuwXrvHUk.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=111&vs=1895717664304054_4246075970&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FRDQ5NEJEQjI1RjlFRTU0NDM4REIwQUQ4RTczQkI4M192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HUEJBMVI5SVN3X2s1d0lIQUwtWlp4UlIzMjRpYnFfRUFBQUYVAgLIARIAKAAYABsAFQAAJqji8PT%2FzdM%2FFQIoAkMzLBdAHAAAAAAAABgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2Fgdl5p0BAA%3D%3D&ccb=9-4&oh=00_AfXYra8uKFbYYzOn8SKr37bY9m7RK35c-BI-GcXeBGGHvA&oe=68B2E67E&_nc_sid=22de04,2025-08-15 14:00:10,https://www.instagram.com/p/DNYotZ7PZh2,DNYotZ7PZh2
" Say hello to our latest Dinkinesh: Tulise 

Dinkinesh means you are marvelous in Amharic, and this new release lives up to the name.

A naturally processed, light-roasted Ethiopian coffee, Tulise is clean and delicately sweet  with tasting notes of pink lady apple, apricot, strawberry, and white tea.

This coffee comes to us through @atlanticspecialtycoffee from @snapspecialtycoffee, founded by Negusse Debela. Once a computer parts entrepreneur, he pivoted after tasting a pour-over that revealed the full potential of Ethiopian coffee. Since then, he's been on a mission to elevate quality and support his community.

Its a story of vision, care, and dedicationand it shows up in every cup.

Sip with intention and be reminded: you are marvelous.",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/530551750_18494770750068765_2343773022015917180_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjE0NDB4MTQ0MC5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=zYHpKrD3n7MQ7kNvwE6mGG_&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY5NzAxNzI0MTQxMDE2ODUxNg%3D%3D.3-ccb7-5&oh=00_AfV-GZA3jC0WuBqBp_YS2xw_ooo-DfxXsQ5FGQq3L7Zz1g&oe=68B6B0AF&_nc_sid=22de04,None,2025-08-11 15:00:50,https://www.instagram.com/p/DNOcZfqv2bE,DNOcZfqv2bE
" Our East African box set is here! 
Weve gathered five coffees from Ethiopia, Rwanda, Tanzania, Burundi, and Kenyacountries known for producing some of the most vibrant and dynamic coffees. This set celebrates that brightness, character, and summer-like energy.

Though they share a region, each coffee brings something totally different to the table. Here's whats inside:

 Dinkinesh: Dale  Ethiopia
From Sidamo, featuring heirloom landraces that give us honeysuckle, sweet red tea, and blood orange. 99% of arabicas genetic material traces back to Ethiopia.

 Fugi Ikizere Women  Rwanda
Washed and sorted by a women-led group. Clean and smooth with peach, clover honey, pineapple cookie, and clove. A celebration of community and care.

 Futurism  Tanzania
Washed with precision. Thanks to better training and infrastructure, this one shines with red apple, nougat, dulce de leche, and a figgy strawberry finish.

 Akeza  Burundi
Naturally processed. Big, juicy notes of blueberry, blackberry, grape, violet, and raspberry. Syrupy and sweet in the best way.

 Where The Rain Sleeps  Kenya
Washed, fermented in tanks for 1618 hours. Grapefruit, blackberry, jasmine, and a sparkle-like finish. As poetic as the Aberdare Mountain Range its named after.


Taste the region and celebrate its beautiful creations!",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/527304444_18493074208068765_9133836889037676110_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4NjAzLnNkci5mODI3ODcuZGVmYXVsdF9pbWFnZS5jMiJ9&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=DGhIm94IO2oQ7kNvwHIG_Zs&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY4OTU4ODMyMTU2Mjk2MTYyMQ%3D%3D.3-ccb7-5&oh=00_AfVcltNtpTjRQmZr5DUKdIte_zFsCosq6exYiOrOjlCbbw&oe=68B6C89C&_nc_sid=22de04,None,2025-08-01 09:00:57,https://www.instagram.com/p/DM0DQe6MKbV,DM0DQe6MKbV
" Coming sooooon to a work club near you in Central Park.

 Come on over to Durhams brand-new work club for our sneak peek TOMORROW (7/30) before memberships go live on Thursday (7/31). Head to the link in our bio to RSVP.

 See the club from 8a-3p while sipping on endless free coffee from @littlewaves.coffee and @omiescoffee.

 Then cheers from 6p-8p with free + flowin drinks from our friends at @louelladurham, @durtybull, and loads of other local brews. Drop in and lets raise a glass to this new babyDurhams neighborhood work club!

 Plus, @locopopsdurham will be slingin pops right outside the club.

 Anyone who RSVPs and attends the party will enter a drawing to win a FREE Switchyards membership for one year ($1200 value).",https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/525180072_18523676350027083_3924580253459427034_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjEwODB4MTM0OS5zZHIuZjgyNzg3LmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QEVgY0G_dHG2E9Tf3mGNsD007OwynixbgFRD0JwMOM0Wt3FFWfHUjhfEhwsXlwJ7cM&_nc_ohc=WyVKIAuJm1UQ7kNvwFMw4nf&_nc_gid=hr2PDZ-DI4Tgz0Q9vVRsbg&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzY4NzU1NzY3Mjg1Mzg5MjA5OQ%3D%3D.3-ccb7-5&oh=00_AfV7cd1SBP1CndH8Z_kRh2UBxxy06GT8gd7f-a4nNSx_Xg&oe=68B6E075&_nc_sid=22de04,None,2025-07-29 13:45:55,https://www.instagram.com/p/DMs1i4Wu52I,DMs1i4Wu52I
