Caption,Image,Video,Time Created,Post URL,Post ID
,,,,,
"Conhea as trilhas ao redor do Pico do Bon.

Marca seu amigo para ir fazer uma trilha com voc. ",https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/316748391_730717458388040_2909219114097608052_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0uaW1hZ2VfdXJsZ2VuLjE0NDB4MTc5NS5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QGnGJMB1x6BcZdfyU9OkIGOER_UVTUhB72n8yHNt5ih-K9-A0KAnbkfKU8hcHVSSzA&_nc_ohc=oijyH44523YQ7kNvwHtoIys&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=Mjk3Nzc5OTg3NDEzODM3MDc4NA%3D%3D.3-ccb7-5&oh=00_AforQrNfxIHlzYU8lN2nzvizL3m2BRmvlkENT8Wxd33nIA&oe=69789424&_nc_sid=22de04,None,11/23/2022 6:03,https://www.instagram.com/p/ClTRTbkOPxm,ClTRTbkOPxm
,,,,,
"Sabe aqueles seus amigos enrolados?

Que vivem falando que vo vir no Pico do Bon e nunca vem?

Marquem esses enrolados aqui. ",https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/203412395_197203792306127_7731682355851793443_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwODB4MTA4MC5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UuYzIifQ&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGnGJMB1x6BcZdfyU9OkIGOER_UVTUhB72n8yHNt5ih-K9-A0KAnbkfKU8hcHVSSzA&_nc_ohc=GIhIOwQEp2EQ7kNvwEJ2Ggc&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MjYwMDQ5MDI3NDg2MjIzMzk1Nw%3D%3D.3-ccb7-5&oh=00_AfoY_T6ORYEdZ3ExrOXbsG5H0Yn_F-4FZkXuDod1oLS4IA&oe=69789F1D&_nc_sid=22de04,None,6/20/2021 16:57,https://www.instagram.com/p/CQWzCCDBXll,CQWzCCDBXll
,,,,,
"Pico do Bon e Cachoeira do Bon

Localizados na Serra do Brigadeiro na regio de Araponga

Lugar de paz e contato com a natureza 

  @voealtoaudiovisual @feliciogodinho

Precisando de vdeos e fotos para redes sociais? Imagens de drone? cobertura de eventos?
Entre em contato com a gente! 

 whatsapp  31 996812072",https://scontent-lax3-1.cdninstagram.com/v/t15.5256-10/598816371_955214827675312_6995903880142731532_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=MzMxMTUwMTc5NDg2OTA4MTExNzk1NTIxNDY3NDM0MTk5NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjM5MHg2OTMuc2RyLkMzIn0%3D&_nc_ohc=qspxb0QIbDIQ7kNvwEfLTO8&_nc_oc=AdkhtCat0oJtz_3wKVX7nD5jnwaVn3jacX5h5cUjW9dua1KQVsht9-FnKkw8RVfePNQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&oh=00_AfpN5voaseYmnHUjWWbOB8dZC0MN1Plw_pS_uPfL_VshXg&oe=6978A543,https://scontent-lax3-2.cdninstagram.com/o1/v/t2/f2/m82/AQOtO5sbZQgpYYNziUvLC47zsN4wVayktX4nJe8zTtm6MVETrK08CAZwHGMALqp8pE7a-WQBoh7-nJvJD6Fc7aVL6Tjv3GE2sFES8mY.mp4?_nc_cat=111&_nc_sid=5e9851&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_ohc=s88NPTkki0oQ7kNvwHGOHrf&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjQ1OTU3NjQ1MjY3NzA0LCJhc3NldF9hZ2VfZGF5cyI6Njk2LCJ2aV91c2VjYXNlX2lkIjoxMDA5OSwiZHVyYXRpb25fcyI6ODUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=352baa0efa2ef828&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC85ODRGNkE4NkJDOTE1NzYzNDkwQTU2MkU3RUEwQjhBOF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSFFycGhsYVpMZ19mWEFCQU1TTEhrRXRlT29RYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm8Muboc_sbxUCKAJDMywXQFVEOVgQYk4YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HZeadAQA&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&_nc_zt=28&oh=00_AfoxK5K5tmp1jrql0aHmJMFc2tUoI8GPOQzYPIoPacZWfA&oe=6974A9B0,2/2/2025 17:07,https://www.instagram.com/p/C300VZcPXQd,C300VZcPXQd
,,,,,
" Aventura na Serra do Brigadeiro  Um dia inesquecvel!

No ltimo dia 26, vivemos momentos incrveis na Serra do Brigadeiro, cercados por paisagens de tirar o flego e muita energia boa! 
Foi um dia repleto de emoo, superao e conexo com a natureza, com direito a rapel e tirolesa em um cenrio simplesmente espetacular. Cada descida, cada grito de alegria e cada sorriso refletiam o verdadeiro esprito da aventura: vencer o medo e celebrar a vida! 

Se voc ainda no participou de uma experincia assim, vem com a gente nas prximas expedies! Prometemos mais natureza, adrenalina e boas histrias para contar. 

 Vertical Life  Viva o extraordinrio!
#serradobrogadeiro #picodobon #araponga #RapelProfissional #aventura",https://scontent-lax3-2.cdninstagram.com/v/t51.82787-15/572321919_18414955519117392_5671568900619188236_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzc1MzM3OTM0ODkwMTM5NDQzNg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU0MHg5NjAuc2RyLkMzIn0%3D&_nc_ohc=SbVMuUfvyKoQ7kNvwFcYMsF&_nc_oc=AdkPfKJH9frjOBhjEGodxmYAZrL2Al3MEgaEzRBjagTD3a1rgDY5u39LQ1CdgX_xg2w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&oh=00_Afo7iyEpfw6gZi0rJ0YfINi2e62acQ_5_PW4rUVvgWiSDw&oe=6978AC33,https://scontent-lax3-2.cdninstagram.com/o1/v/t2/f2/m86/AQOkpEfvO1eMaVB4EBDU9M61ZbJa0KZkrxd85pELowTDyk6Es1U_Pt3PqcykDAEnmyfdkaJiHxNoT9EwgkH2oeFdvUtm2LVEOJboSBU.mp4?_nc_cat=106&_nc_sid=5e9851&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_ohc=wkiAIIqYkLAQ7kNvwFdeBwz&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjQ4NDUzOTkzNDUxMTA1NDIsImFzc2V0X2FnZV9kYXlzIjo4NiwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjY3LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&_nc_zt=28&vs=4e8ff130a68e01ac&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9DRTQ2NENGQkIzMDA4OEM4RDRCRERBNzE1QkM1OEI4Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTXpKTFNMQlZjQ3ZJVGNEQUFveElLd2NyTVZQYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmnPikpMqwolgVAigCQzMsF0BQ1U_fO2RaGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&oh=00_AfrHjYc8jQIReqyEHChkFHFrMNY4tunKQFqxb-sO4d1vMA&oe=6974B533,10/28/2025 9:22,https://www.instagram.com/p/DQWrqGujfgE,DQWrqGujfgE
,,,,,
"Viver no se trata somente de respirar muitos respiram,andam,escutam,falam mas se esquecem de realmente aproveitar todos esses benefcios
De valor ao que voc tem e pode ter certeza que voc tem muito!
Viva!!!

#brasil #trilha #montanha #aventureiros #explorer",https://scontent-lax7-1.cdninstagram.com/v/t51.71878-15/547494568_1305136491263528_4281521744516153886_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=MzcyMDg0NjE0NDY3MjIwODE2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=x_6F2KezbykQ7kNvwGuTjkA&_nc_oc=Admn9gJkdA0nkMikSgNA97dyzEMVtdxD1q8CfqlQvbubX2pyXWQoeZhGkcVbP0mo-O4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lax7-1.cdninstagram.com&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&oh=00_AfpozQSDoBlWYgRsvc_EikRRg_lrWYI8WaDB1HbfCuMKWQ&oe=69789DCE,https://scontent-lax7-1.cdninstagram.com/o1/v/t2/f2/m86/AQMPvvLK0R9jvIU1dweSXbULstj8pWft1Ir0t9Oo6PYQZkruw0CRtcSEQHvCrvZaM-2ncUUxNW8ZEwVcBXcg9er5zLoQ8kfF-UY49Tc.mp4?_nc_cat=101&_nc_sid=5e9851&_nc_ht=scontent-lax7-1.cdninstagram.com&_nc_ohc=JPiQ5eZeU4QQ7kNvwG2_AgN&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTA5NDMyNjM4Mjg4MTg0MiwiYXNzZXRfYWdlX2RheXMiOjEzMSwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjIzLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&_nc_zt=28&vs=f8738bc0ce6d306f&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9EQzRBRjhCNDIyMzVDQjQwQTM0NThFQUFFMDM3M0FBNF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYR2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC8xMjA5MzE3MTQ3NjY5MDUzXzgxMDYyOTcxODU5MjIzMjE4OTcubXA0FQICyAESACgAGAAbAogHdXNlX29pbAExEnByb2dyZXNzaXZlX3JlY2lwZQExFQAAJuSwj_WW0vEDFQIoAkMzLBdAN4hysCDEnBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1_gdl5p0BAA&oh=00_Afq4_TyMiycQ2jWEbHR_SdG3hNcJv8qdVoD9WW_t3AMVDQ&oe=6974A18E,9/13/2025 12:44,https://www.instagram.com/p/DOjGdrNEZUm,DOjGdrNEZUm
,,,,,
#brasil #picobon #trilhasdobrasil,https://scontent-lax3-2.cdninstagram.com/v/t51.71878-15/538321117_1503049871131097_141679033267550473_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=MzcwNjYzMjU1OTg1OTg3MzA1Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjY0MHgxMTM2LnNkci5DMyJ9&_nc_ohc=aVf3JXz6EwAQ7kNvwEgWOuM&_nc_oc=AdmTx1j2ISd-YoMsm3I7Jnn9i_mxxDUfhq_sWG0S5VUAH839mgAErLkJud0m5UNxRZU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&oh=00_Afp5rQ9UHsN5gzVg9QooowUnAhlqBYZRHiyIOyPvaLnldw&oe=6978B6F4,https://scontent-lax3-2.cdninstagram.com/o1/v/t2/f2/m86/AQPXQj7C4JKbAvZyfITXV7BKGltGBkj7Lfsig80oC5OYc630zZBEZdQxI07s-dZyLRWanH-BnuJZda_FXNQscWjI-Agn-RgjT94IbIA.mp4?_nc_cat=100&_nc_sid=5e9851&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_ohc=5hrfcZppIycQ7kNvwGQfBUj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MjQ5NTYwMjY2NzQwNTYwNjAsImFzc2V0X2FnZV9kYXlzIjoxNTEsInZpX3VzZWNhc2VfaWQiOjEwMDk5LCJkdXJhdGlvbl9zIjoyMSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=deDthdMQg1tTJZ5y_kVQYA&_nc_zt=28&vs=59eef771ccee3846&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FMTQzNzQyN0IwMkQ3NDdGN0MzRjE0MDhCREQyQjU5Nl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRy1rZXlFb1hITExFeEFFQUdaNXk3bmlSdHdSYnN0VEFRQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm-K3MjvjX1FgVAigCQzMsF0A1gAAAAAAAGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&oh=00_AfrNiMbmt3UqbgL_KqwxXoCljHRy0o3oZFeyuvykcOiDIw&oe=69749625,8/24/2025 21:27,https://www.instagram.com/p/DNwmqyzWDUg,DNwmqyzWDUg
,,,,,
